Ticker,Date/Time,Open,High,Low,Close,Volume,OpenInt,OpenInt
LABA,10/27/2022 09:10:00,134.00,134.00,134.00,134.00,3600,482400,482400
LABA,10/27/2022 09:15:00,133.00,133.00,133.00,133.00,200,-26600,-26600
LABA,10/27/2022 09:20:00,134.00,134.00,133.00,133.00,9600,58200,58200
LABA,10/27/2022 09:25:00,134.00,134.00,134.00,134.00,4600,616400,616400
LABA,10/27/2022 09:30:00,134.00,134.00,133.00,133.00,24000,-3192600,-3192600
LABA,10/27/2022 09:35:00,133.00,133.00,133.00,133.00,58100,-7195300,-7195300
LABA,10/27/2022 09:40:00,133.00,133.00,133.00,133.00,1900,252700,252700
LABA,10/27/2022 09:45:00,133.00,133.00,133.00,133.00,200,-26600,-26600
LABA,10/27/2022 09:50:00,133.00,133.00,133.00,133.00,7900,-1050700,-1050700
LABA,10/27/2022 09:55:00,133.00,133.00,133.00,133.00,25600,-3298400,-3298400
LABA,10/27/2022 10:00:00,132.00,132.00,132.00,132.00,16400,-2164800,-2164800
LABA,10/27/2022 10:15:00,132.00,132.00,132.00,132.00,100,-13200,-13200
LAND,10/27/2022 09:00:00,51.00,52.00,51.00,52.00,1572200,-72211800,-72211800
LAND,10/27/2022 09:05:00,51.00,52.00,51.00,51.00,362100,-18456800,-18456800
LAND,10/27/2022 09:10:00,51.00,52.00,50.00,50.00,576100,-13074200,-13074200
LAND,10/27/2022 09:15:00,50.00,52.00,50.00,51.00,337600,-410500,-410500
LAND,10/27/2022 09:20:00,51.00,51.00,51.00,51.00,344900,17589900,17589900
LAND,10/27/2022 09:25:00,51.00,51.00,50.00,50.00,81400,-1050100,-1050100
LAND,10/27/2022 09:30:00,50.00,51.00,50.00,51.00,466600,10858500,10858500
LAND,10/27/2022 09:35:00,51.00,51.00,50.00,51.00,69000,1529300,1529300
LAND,10/27/2022 09:40:00,50.00,51.00,50.00,51.00,359300,-12420100,-12420100
LAND,10/27/2022 09:45:00,51.00,51.00,51.00,51.00,20400,1040400,1040400
LAND,10/27/2022 09:50:00,51.00,51.00,50.00,51.00,1007500,-47274300,-47274300
LAND,10/27/2022 09:55:00,51.00,51.00,50.00,51.00,131300,-1212000,-1212000
LAND,10/27/2022 10:00:00,51.00,51.00,50.00,51.00,382900,-15498900,-15498900
LAND,10/27/2022 10:05:00,51.00,51.00,50.00,51.00,896300,4675000,4675000
LAND,10/27/2022 10:10:00,51.00,51.00,50.00,50.00,471900,7886700,7886700
LAND,10/27/2022 10:15:00,50.00,51.00,50.00,50.00,272600,-13619900,-13619900
LAND,10/27/2022 10:20:00,50.00,51.00,50.00,51.00,647700,-30142800,-30142800
LAND,10/27/2022 10:25:00,51.00,51.00,50.00,50.00,13800,-185000,-185000
LAND,10/27/2022 10:30:00,50.00,50.00,50.00,50.00,70100,-3505000,-3505000
LAPD,6/26/2020 10:20:00,50.00,50.00,50.00,50.00,100,5000,5000
LCGP,4/30/2019 09:25:00,117.00,117.00,117.00,117.00,500,58500,58500
LCGP,4/30/2019 09:55:00,117.00,117.00,113.00,113.00,20200,-2270100,-2270100
LCGP,4/30/2019 10:05:00,115.00,115.00,115.00,115.00,200000,23000000,23000000
LCGP,4/30/2019 11:25:00,115.00,115.00,115.00,115.00,100,11500,11500
LCGP,4/30/2019 11:45:00,115.00,115.00,115.00,115.00,809500,93092496,93092496
LCGP,4/30/2019 11:50:00,115.00,115.00,115.00,115.00,99900,2173500,2173500
LCGP,4/30/2019 11:55:00,116.00,116.00,116.00,116.00,500,58000,58000
LCGP,4/30/2019 13:30:00,117.00,117.00,116.00,117.00,1300,-80900,-80900
LCGP,4/30/2019 13:40:00,116.00,117.00,115.00,117.00,44100,-5053000,-5053000
LCGP,4/30/2019 14:00:00,116.00,116.00,116.00,116.00,100,-11600,-11600
LCGP,4/30/2019 14:40:00,116.00,116.00,116.00,116.00,200,23200,23200
LCGP,4/30/2019 14:45:00,116.00,117.00,116.00,117.00,2300,266900,266900
LCGP,4/30/2019 15:35:00,116.00,116.00,116.00,116.00,500,-58000,-58000
LCGP,4/30/2019 16:00:00,114.00,114.00,114.00,114.00,276300,-31498200,-31498200
LCKM,10/26/2022 11:20:00,298.00,310.00,298.00,310.00,800,245000,245000
LCKM,10/26/2022 13:30:00,310.00,310.00,310.00,310.00,500,155000,155000
LEAD,10/27/2022 09:00:00,100.00,101.00,98.00,99.00,4130000,-153449600,-153449600
LEAD,10/27/2022 09:05:00,100.00,101.00,99.00,101.00,3971600,380991712,380991712
LEAD,10/27/2022 09:10:00,102.00,102.00,101.00,101.00,1870900,-27805300,-27805300
LEAD,10/27/2022 09:15:00,101.00,101.00,99.00,99.00,2618900,-234475712,-234475712
LEAD,10/27/2022 09:20:00,100.00,101.00,100.00,100.00,225700,11270900,11270900
LEAD,10/27/2022 09:25:00,100.00,101.00,100.00,100.00,1114500,-88510000,-88510000
LEAD,10/27/2022 09:30:00,100.00,100.00,99.00,99.00,233500,-8310900,-8310900
LEAD,10/27/2022 09:35:00,99.00,100.00,99.00,99.00,392300,-33922400,-33922400
LEAD,10/27/2022 09:40:00,99.00,100.00,99.00,99.00,565400,50510300,50510300
LEAD,10/27/2022 09:45:00,99.00,100.00,99.00,100.00,100800,10060100,10060100
